Date,Open,High,Low,Close,Volume,MA9,MA21,uptrend,downtrend,upcross,downcross
2025-08-31 00:00:00+00:00,108818.4609375,109491.0,108104.65625,108236.7109375,47986191770,,,0,0,,
2025-09-01 00:00:00+00:00,108228.75,109890.5859375,107271.1796875,109250.59375,66870372995,,,0,0,,
2025-09-02 00:00:00+00:00,109243.0703125,111748.015625,108454.03125,111200.5859375,74776999491,,,0,0,,
2025-09-03 00:00:00+00:00,111190.6953125,112600.2265625,110582.9609375,111723.2109375,61119643565,,,0,0,,
2025-09-04 00:00:00+00:00,111718.1484375,112208.328125,109347.2265625,110723.6015625,60131132901,,,0,0,,
2025-09-05 00:00:00+00:00,110723.015625,113357.4921875,110233.3984375,110650.984375,60241647677,,,0,0,,
2025-09-06 00:00:00+00:00,110650.5703125,111275.015625,110024.0859375,110224.6953125,21500719036,,,0,0,,
2025-09-07 00:00:00+00:00,110221.328125,111591.078125,110211.625,111167.6171875,24618007520,,,0,0,,
2025-09-08 00:00:00+00:00,111163.015625,112869.234375,110630.609375,112071.4296875,40212813407,110583.26996527778,,0,0,,
2025-09-09 00:00:00+00:00,112077.578125,113225.4375,110776.703125,111530.546875,45984480722,110949.25173611111,,0,0,,
2025-09-10 00:00:00+00:00,111531.25,114275.25,110940.078125,113955.359375,56377473784,111472.00347222222,,0,0,,
2025-09-11 00:00:00+00:00,113961.4296875,115522.546875,113453.8359375,115507.5390625,45685065332,111950.55381944444,,0,0,,
2025-09-12 00:00:00+00:00,115507.7890625,116769.3828125,114794.484375,116101.578125,54785725894,112437.0390625,,0,0,,
2025-09-13 00:00:00+00:00,116093.5625,116334.6328125,115248.2734375,115950.5078125,34549454947,113017.80642361111,,0,0,,
2025-09-14 00:00:00+00:00,115950.2890625,116181.5,115222.3984375,115407.65625,32798036057,113546.32552083333,,0,0,,
2025-09-15 00:00:00+00:00,115399.6328125,116747.8828125,114461.0625,115444.875,52937859416,114126.34548611111,,0,0,,
2025-09-16 00:00:00+00:00,115423.7578125,117005.2734375,114813.09375,116843.1875,45781744593,114756.96440972222,,0,0,,
2025-09-17 00:00:00+00:00,116840.5078125,117328.609375,114794.9765625,116468.5078125,60528025996,115245.52864583333,,0,0,,
2025-09-18 00:00:00+00:00,116461.265625,117911.7890625,116188.796875,117137.203125,49457272032,115868.49045138889,,0,0,,
2025-09-19 00:00:00+00:00,117137.671875,117479.7578125,115141.8203125,115688.859375,38828473971,116061.1015625,,0,0,,
2025-09-20 00:00:00+00:00,115691.125,116191.1484375,115473.5234375,115721.9609375,22864449614,116084.92621527778,113381.29575892857,1,0,115721.9609375,
2025-09-21 00:00:00+00:00,115730.2265625,115901.0859375,115252.578125,115306.09375,22495852193,115996.5390625,113717.93303571429,1,0,,
2025-09-22 00:00:00+00:00,115309.21875,115431.3125,112037.6484375,112748.5078125,70684158591,115640.76128472222,113884.50037202382,0,1,,112748.5078125
2025-09-23 00:00:00+00:00,112757.4765625,113351.9140625,111535.5703125,112014.5,47211853279,115263.74392361111,113923.25818452382,0,1,,
2025-09-24 00:00:00+00:00,112007.6640625,113986.2734375,111229.640625,113328.6328125,48044595085,115028.60590277778,113999.70684523809,0,1,,
2025-09-25 00:00:00+00:00,113330.1640625,113541.0859375,108713.3984375,109049.2890625,75528654284,114162.6171875,113919.97767857143,0,1,,
2025-09-26 00:00:00+00:00,109041.296875,110359.1953125,108728.9765625,109712.828125,57738288949,113411.98611111111,113875.30357142857,0,1,,
2025-09-27 00:00:00+00:00,109707.140625,109778.5,109144.296875,109681.9453125,26308042910,112583.62413194444,113849.45833333333,0,1,,
2025-09-28 00:00:00+00:00,109681.9453125,112375.484375,109236.9453125,112122.640625,33371048505,112187.37760416667,113894.93563988095,0,1,,
2025-09-29 00:00:00+00:00,112117.875,114473.5703125,111589.953125,114400.3828125,60000147466,112040.53559027778,114005.83816964286,1,0,114400.3828125,
2025-09-30 00:00:00+00:00,114396.5234375,114836.6171875,112740.5625,114056.0859375,58986330258,111901.64583333333,114126.10193452382,0,1,,114056.0859375
2025-10-01 00:00:00+00:00,114057.59375,118648.9296875,113981.3984375,118648.9296875,71328680132,112557.24826388889,114349.60528273809,1,0,118648.9296875,
2025-10-02 00:00:00+00:00,118652.3828125,121086.40625,118383.15625,120681.2578125,71415163912,113520.22135416667,114595.97284226191,1,0,,
2025-10-03 00:00:00+00:00,120656.984375,123944.703125,119344.3125,122266.53125,83941392228,114513.32118055556,114889.54203869047,1,0,,
2025-10-04 00:00:00+00:00,122267.46875,122857.640625,121577.5703125,122425.4296875,36769171735,115999.55902777778,115197.87165178571,1,0,,
2025-10-05 00:00:00+00:00,122419.671875,125559.2109375,122191.9609375,123513.4765625,73689317763,117532.96440972222,115583.86309523809,1,0,,
2025-10-06 00:00:00+00:00,123510.453125,126198.0703125,123196.046875,124752.53125,72568881188,119207.47395833333,116027.08482142857,1,0,,
2025-10-07 00:00:00+00:00,124752.140625,125184.0234375,120681.96875,121451.3828125,76149412513,120244.00086805556,116246.52269345238,1,0,,
2025-10-08 00:00:00+00:00,121448.3515625,124167.09375,121119.1796875,123354.8671875,65354305286,121238.94357638889,116574.44456845238,1,0,,
2025-10-09 00:00:00+00:00,123337.0703125,123739.34375,119812.03125,121705.5859375,74653009425,122088.88802083333,116791.98660714286,1,0,,
2025-10-10 00:00:00+00:00,121704.7421875,122509.6640625,104582.4140625,113214.3671875,153125018868,121485.04774305556,116674.15364583333,0,1,,113214.3671875
2025-10-11 00:00:00+00:00,113236.4296875,113429.7265625,109760.5625,110807.8828125,110236934340,120388.00607638889,116440.14992559524,0,1,,
2025-10-12 00:00:00+00:00,110811.515625,115805.0625,109715.5390625,115169.765625,93710414091,119599.4765625,116433.65811011905,0,1,,
2025-10-13 00:00:00+00:00,115161.6796875,116020.484375,113821.1875,115271.078125,71582026739,118804.54861111111,116553.78050595238,0,1,,
2025-10-14 00:00:00+00:00,115264.8828125,115502.8828125,110029.484375,113118.6640625,92212917403,117649.56944444444,116606.35974702382,0,1,,
